,name,Speciality,Experience,Location,District,DP_score,Num_of_votes,Consultation_Fee,Degree
223,Dr. Sanjay Reddy,General Physician,26,Bangalore,Cunningham Road,83% ,2,700,"MBBS, MD - General Medicine"
224,Dr. Naveen Kumar R A,General Physician,7 ,Bangalore,JP Nagar 7 Phase,N/A,N/A,250,"MBBS, MD - General Medicine"
225,Dr. Paulson Wilmott Israel,General Physician,29,Bangalore,Kalkere,N/A,N/A,550,MBBS
226,Dr. Reena Mathew,General Physician,22,Bangalore,Hennur,100% ,3,400,MBBS
227,Dr. Soumya Yeturi,Internal Medicine,25,Bangalore,Sarjapur Road,88% ,3,700,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine)"
228,Dr. Esha Roy,General Physician,6 ,Bangalore,HSR Layout,N/A,N/A,500,"MBBS, MD - General Medicine"
229,Dr. Naveen Upar,General Physician,5 ,Bangalore,KR Puram,N/A,N/A,200,MBBS
230,Dr. Satish Kini,Internal Medicine,38,Bangalore,Yeshwanthpur,N/A,N/A,500,"MBBS, MD - General Medicine"
231,Dr. Sudhir B S,General Physician,22,Bangalore,Sampangiramnagar,100% ,3,800,"MBBS, DNB - General Medicine"
232,Dr. Sushmita M Patil,General Physician,2 ,Bangalore,Bannerghatta Road,N/A,N/A,200,MBBS
233,Dr. Kavya Rajendran,General Physician,4 ,Bangalore,Bannerghatta Road,N/A,N/A,300,"MBBS, DNB - General Medicine"
234,Dr. Bhargavi Botlagunta,General Physician,7 ,Bangalore,Sarjapur Road,100% ,N/A,500,"MBBS, MD - General Medicine"
235,Dr. Shruti Aralikatti,General Physician,8 ,Bangalore,Kaggadasapura,N/A,N/A,200,MBBS
236,Dr. Nikhil B,General Practitioner,13,Bangalore,Bilekahalli,90% ,9,700,"MBBS, MD - General Medicine, DNB - Neurology"
237,Dr. Hari Krishna,Anesthesiologist,3 ,Bangalore,Electronics City,100% ,N/A,250,"MBBS, MD - Anaesthesiology"
238,Dr. Ashwitha R Nayak,General Physician,5 ,Bangalore,Kammana Halli,N/A,N/A,200,MBBS
239,Dr. Anil Kumar K C,General Physician,5 ,Bangalore,Banashankari 3rd Stage,N/A,N/A,200,MBBS
240,Dr. Shravan S Sanjee,General Physician,5 ,Bangalore,JP Nagar 6 Phase,N/A,N/A,200,MBBS
241,Dr. T Surendra Reddy,General Physician,16,Bangalore,Yelahanka,100% ,1,900,"MBBS, DNB - Radiotherapy"
242,Dr. Sunil Babu B,General Physician,2 ,Bangalore,Bommanahalli,N/A,N/A,200,MBBS
243,Dr. Mohit J,General Physician,2 ,Bangalore,Peenya,N/A,N/A,200,MBBS
244,Dr. Akash SK,General Physician,2 ,Bangalore,Chamarajpet,N/A,N/A,200,MBBS
245,Dr. Rafiya H,General Physician,2 ,Bangalore,Shivaji Nagar,N/A,N/A,200,MBBS
246,Dr. Syed Salman Farookh,General Physician,13,Bangalore,Singasandra,N/A,N/A,500,MBBS
247,Dr. Visagan Duraivelu Gugan,General Physician,1 ,Bangalore,Kaggadasapura,N/A,N/A,200,MBBS
248,Dr. Sridhar Sreenivasan,General Physician,10,Bangalore,Kumaraswamy Layout,N/A,N/A,500,"MBBS, MD - General Medicine"
249,Dr. Padma Subbaramu,Pediatrician,24,Bangalore,Sarjapur Road,90% ,N/A,3000,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)"
250,Dr. Elbin Kumar,General Practitioner,5 ,Bangalore,Koramangala,N/A,N/A,200,MBBS
251,Dr. Jyoti Puthran,General Physician,18,Bangalore,Kammana Halli,70% ,10,500,"MBBS, DNB - General Medicine"
252,Dr. Kantam D Chakraborty,General Practitioner,2 ,Bangalore,New Thippasandra,N/A,N/A,500,MBBS
253,Dr. Vinay Hosadurga,General Physician,15,Bangalore,Kumaraswamy Layout,100% ,1,550,"MBBS, MD - General Medicine"
254,Dr. Kiran SP,General Physician,1 ,Bangalore,Bannerghatta Road,N/A,N/A,200,MBBS
255,Dr. Shilpa K S,General Physician,2 ,Bangalore,Bannerghatta Road,N/A,N/A,200,MBBS
256,Dr. Madhuri M C,General Physician,23,Bangalore,Gottigerre,50% ,4,400,"MBBS, MD - Biochemistry"
257,Dr. Rakesh H J,General Physician,10,Bangalore,Gottigerre,100% ,N/A,500,MBBS
258,Dr. Shruthi Rai,General Physician,12,Bangalore,HSR Layout,N/A,N/A,500,MBBS
259,Dr. Prerna Bhaskar,General Physician,7 ,Bangalore,Cunningham Road,N/A,N/A,300,MBBS
260,Dr. Divya Kiran S,General Physician,13,Bangalore,HRBR Layout,N/A,N/A,600,"MBBS, MD - General Medicine"
261,Dr. Akshay Masur,Internal Medicine,11,Bangalore,Kumaraswamy Layout,N/A,N/A,400,"MBBS, MD - General Medicine"
262,Dr. Aamir Muhamed,General Physician,4 ,Bangalore,Adugodi,N/A,N/A,200,MBBS
263,Dr. Akash S Angya,General Physician,0 ,,Bangalor,N/A,N/A,200,MBBS
264,Dr. S Varun Kumar,Radiologist,10,Bangalore,Malleswaram,N/A,N/A,800,"MBBS, Diploma in Medical Radio-Diagnosis"
265,Dr. Siddhant Dubey,General Physician,3 ,Bangalore,Bannerghatta Road,N/A,N/A,200,MBBS
266,Dr. Nilu Daga,General Physician,21,Bangalore,Ashoknagar,N/A,N/A,800,MBBS
267,Dr. Pradeep T,General Physician,5 ,Bangalore,Electronics City,N/A,N/A,300,MBBS
268,Dr. Maruthi H,General Physician,1 ,Bangalore,Bannerghatta Road,N/A,N/A,200,MBBS
269,Dr. Mary Susan K S,General Physician,11,Bangalore,Sarjapur Road,N/A,N/A,650,"MBBS, MD - General Medicine"
270,Dr. Prashanth Kalale,Orthopedist,23,Bangalore,Koramangala 5 Block,97% ,311,600,"MBBS, MS - Orthopaedics, M.Ch - Orthopaedics"
271,Dr. Somanna Malchira,Orthopedist,16,Bangalore,Hebbal,96% ,17,900,"MS - Orthopaedics, MBBS"
272,Dr. Archana Muralidharan,Ear-Nose-Throat (ENT) Specialist,20,Bangalore,Hebbal,90% ,37,800,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology"
273,Dr. Alok Banka,Ear-Nose-Throat (ENT) Specialist,19,Bangalore,Whitefield,93% ,1532,550,"MBBS, MS - ENT"
274,Dr. Tejaswini Nayak,Pediatrician,27,Bangalore,Bellandur,96% ,176,800,"MBBS, Diploma in Paediatrics"
275,Dr. P.R. Krishnan,Neurologist,29,Bangalore,Bannerghatta Road,89% ,110,900,"MBBS, MD - General Medicine, DM - Neurology, DNB - Neurology"
276,Dr. Phani Madhuri,Gynecologist/Obstetrician,19,Bangalore,Jayanagar 5 Block,95% ,670,700,"MBBS, MS - Obstetrics & Gynaecology"
277,Dr. Shafalika.S.B,Gynecologist/Obstetrician,19,Bangalore,Yeshwanthpur,100% ,398,750,"MBBS, DGO, DNB - Obstetrics & Gynecology"
278,Dr. Uma Maheshwari,Gynecologist/Obstetrician,23,Bangalore,Jayanagar,95% ,93,850,"MBBS, DGO"
279,Dr. Rajasekhar,General Surgeon,42,Bangalore,JP Nagar 2 Phase,94% ,137,1100,"MS - General Surgery, MBBS"
280,Dr. B. Ramesh,Cardiologist,36,Bangalore,Bannerghatta Road,98% ,371,1000,"DM - Cardiology, MD - General Medicine, MBBS"
281,Dr. Jayaranganath M,Cardiologist,34,Bangalore,Seshadripuram,91% ,14,740,"MBBS, MD - General Medicine, DM - Cardiology"
282,Dr. Shantala M.N,Ear-Nose-Throat (ENT) Specialist,23,Bangalore,Jayanagar 9 Block,99% ,163,650,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology"
283,Dr. Chitra Ramamurthy,Gynecologist/Obstetrician,42,Bangalore,Bannerghatta Road,94% ,53,850,"MD - Obstetrics & Gynaecology, MBBS"
284,Dr. Basavaraj  Devarashetty,Gynecologist/Obstetrician,25,Bangalore,Marathahalli,98% ,409,700,"MBBS, MD - Obstetrics & Gynaecology"
285,Dr. Vidyamani Boriah,Gynecologist/Obstetrician,52,Bangalore,VV Puram,91% ,9,600,"MBBS, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)"
286,Dr. Shantipriya Reddy,Dentist,32,Bangalore,Domlur,93% ,16,300,"BDS, MDS - Periodontics"
287,Dr. Jayanti S Thumsi,General Surgeon,29,Bangalore,Bannerghatta Road,95% ,35,1000,"MBBS, MS - General Surgery"
288,Dr. Anjana Hulse,Pediatrician,20,Bangalore,Bannerghatta Road,99% ,102,850,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)"
289,Dr. Deepthi RK Shashidhar,Gynecologist/Obstetrician,15,Bangalore,Jayanagar 4 Block,98% ,346,600,"MBBS, MS - Obstetrics & Gynaecology"
290,Dr. M. Gowri,Gynecologist/Obstetrician,32,Bangalore,HSR Layout,91% ,269,600,"MBBS, DGO"
291,Dr. Deepak Devakar,Dermatologist,18,Bangalore,JP Nagar,98% ,574,600,"MBBS, DDVL"
292,Dr. Deepak V Rao,Gynecologist/Obstetrician,31,Bangalore,Indiranagar,98% ,22,700,"MD - Obstetrics & Gynaecology, MBBS"
293,Dr. Amarkishen Shetty,Gastroenterologist,33,Bangalore,Jayanagar 9 Block,90% ,51,750,"MBBS, DM - Gastroenterology"
294,Dr. Sriharsha Ajjur,Urologist,18,Bangalore,Jayanagar,96% ,149,750,"MS - General Surgery, MCh - Urology, MBBS"
295,Dr. Shobha Venkat,Gynecologist/Obstetrician,30,Bangalore,Old Airport Road,95% ,416,900,"DNB - Obstetrics & Gynecology, DGO, MBBS"
296,Dr. S. D. Subba Rao,Pediatrician,44,Bangalore,Jayanagar 9 Block,92% ,13,650,"MBBS, DNB - Paediatrics, Diploma in Child Health (DCH)"
297,Dr. Mala Prakash,Gynecologist/Obstetrician,37,Bangalore,Bannerghatta Road,94% ,123,850,"MBBS, MD - Obstetrics & Gynaecology"
298,Dr. Joshitha Naik,Gynecologist/Obstetrician,21,Bangalore,Jayanagar 5 Block,85% ,13,700,"MBBS, DNB - Obstetrics & Gynecology, DGO"
299,Dr. M. R. Pujari,Dentist,16,Bangalore,Marathahalli,96% ,1423,200,"BDS, MDS - Oral Medicine and Radiology"
300,Dr. Dilip Rangarajan,Nephrologist,38,Bangalore,Padmanabhanagar,96% ,109,750,"MBBS, MD - General Medicine, DNB - Nephrology"
301,Dr. Vijayalakshmi M,Gynecologist/Obstetrician,43,Bangalore,Indiranagar,95% ,59,800,"MBBS, DGO"
302,Dr. Ravishankar Bhat,Bariatric Surgeon,31,Bangalore,Bannerghatta Road,94% ,72,850,"MBBS, MS - General Surgery, DNB - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery"
303,Dr. Shivareddy.H.A.,Orthopedist,19,Bangalore,Jayanagar,99% ,135,750,"MBBS, Diploma in Orthopaedics, MS - Orthopaedics"
304,Dr. Rajeshwari Dharani,Homoeopath,25,Bangalore,JP Nagar 7 Phase,98% ,165,500,"BHMS, MD - Homeopathy"
305,Dr. Mohan M.R,Orthopedist,20,Bangalore,Hulimavu,95% ,55,500,"MBBS, MS - Orthopaedics"
306,Dr. Gokulnath,Nephrologist,45,Bangalore,Bannerghatta Road,90% ,14,1000,"MBBS, DM - Nephrology, DNB - Nephrology, MD - General Medicine"
307,Dr. V S Gangarani,Gynecologist/Obstetrician,33,Bangalore,Indiranagar,69% ,7,650,"MBBS, DGO, DNB - Obstetrics & Gynecology"
308,Dr. Hirennappa B. Udnur,Pulmonologist,19,Bangalore,Hebbal,95% ,188,800,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases"
309,Dr. Kavitha Lakshmi Easwaran,Gynecologist/Obstetrician,25,Bangalore,Kasturi nagar,95% ,219,700,"MBBS, MD - Obstetrics & Gynaecology"
310,Dr. Deepak K L Gowda,Plastic Surgeon,30,Bangalore,Koramangala 5 Block,92% ,9,600,"MBBS, MS - General Surgery, MCh - Plastic Surgery, DNB - General Surgery, DNB - Plastic Surgery"
311,Dr. M B Trishala,Ophthalmologist,32,Bangalore,Jayanagar 9 Block,100% ,5,650,"MBBS, MS - Ophthalmology"
312,Dr. Shobha N. Gudi,Gynecologist/Obstetrician,30,Bangalore,Jayanagar 9 Block,91% ,13,650,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG)"
313,Dr. Mohan Puttaswamy,Orthopedist,19,Bangalore,Bannerghatta Road,96% ,205,850,"MBBS, MS - Orthopaedics"
314,Dr. Satyajit Godhi,General Surgeon,14,Bangalore,Jayanagar,97% ,30,750,"MS - General Surgery, MBBS"
315,Dr. Maneesh Sinha,Urologist,29,Bangalore,Padmanabhanagar,93% ,57,750,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MCh - Urology"
316,Dr. Asmita Dhekne Chebbi,Dermatologist,13,Bangalore,Koramangala 5 Block,98% ,251,600,"MBBS, MD - Dermatology , Venereology & Leprosy"
317,Dr. Manjunath MK,Ear-Nose-Throat (ENT) Specialist,16,Bangalore,Yeshwanthpur,87% ,26,950,"MBBS, MS - ENT"
318,Dr. Nanda Kumar Bhairi,Orthopedist,18,Bangalore,Rajarajeshwarinagar,99% ,47,500,"DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics, MBBS"
319,Dr. Neelima Sharma,Dermatologist,23,Bangalore,Jayanagar 9 Block,95% ,26,650,"MBBS, DNB - Dermatology, Venereology & Leprosy"
320,Dr. Sowmya Prashanth,Pediatrician,23,Bangalore,Jayanagar 5 Block,97% ,18,700,"MBBS, DNB - Paediatrics"
321,Dr. Akshai Shetty,Dentist,22,Bangalore,Jayanagar 9 Block,97% ,96,650,"BDS, MDS - Orthodontics"
322,Dr. Mamatha Reddy Y V,Gynecologist/Obstetrician,25,Bangalore,Koramangala 1 Block,95% ,149,800,"MBBS, MS - Obstetrics & Gynaecology"
323,Dr. Namita Kapoor Sahgal,Gynecologist/Obstetrician,29,Bangalore,Whitefield,90% ,188,800,"MBBS, MD - Obstetrics & Gynaecology"
324,Dr. Mir Sujath Ali,Dentist,21,Bangalore,Jayanagar 9 Block,98% ,153,650,"BDS, MDS - Conservative Dentistry & Endodontics"
325,Dr. Sreenivasa Murthy T. M,Ear-Nose-Throat (ENT) Specialist,22,Bangalore,Yeshwanthpur,90% ,22,950,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology"
326,Dr. Vimala CH,Gynecologist/Obstetrician,16,Bangalore,Whitefield,98% ,185,800,"MBBS, DGO, DNB - Obstetrics & Gynecology"
327,Dr. Rajdeep,Dermatologist,13,Bangalore,JP Nagar 2 Phase,96% ,164,750,"MBBS, DDVL"
328,Dr. Poorvi Shrivastava,Dentist,11,Bangalore,Marathahalli,98% ,36,100,"MDS - Conservative Dentistry & Endodontics, BDS"
329,Dr. Arati Sundar Rajan,Dentist,26,Bangalore,Basavanagudi,97% ,119,450,BDS
330,Dr. Ajanta Chakravarty,Ophthalmologist,36,Bangalore,Whitefield,95% ,3,900,"MBBS, MS - Ophthalmology"
331,Dr. Sunder Narasimhan,General Surgeon,33,Bangalore,Bannerghatta Road,87% ,155,1000,"MBBS, MS - General Surgery"
332,Dr. Sateesha S.R,Pediatrician,23,Bangalore,Kalyan Nagar,98% ,176,650,"MBBS, Diploma in Child Health (DCH)"
333,Dr. Radhakrishna Hegde,Pediatrician,34,Bangalore,Bannerghatta Road,100% ,9,500,"MBBS, Diploma in Child Health (DCH), MD - Pediatrics"
334,Dr. Sanjeev S Tonshal,Urologist,20,Bangalore,Hebbal,94% ,31,900,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
335,Dr. Nagesh Basavaraj,Cardiac Surgeon,23,Bangalore,Kengeri,100% ,26,700,"MBBS, DNB - General Surgery, MCh - Cardio Thoracic and Vascular Surgery"
336,Dr. Anil Kumar B T,Nephrologist,26,Bangalore,Kengeri,100% ,7,900,"MBBS, DNB - Nephrology"
337,Dr. Archana Agarwal,Gynecologist/Obstetrician,29,Bangalore,Marathahalli,85% ,201,700,"MBBS, DGO"
338,Dr. Shalini Shetty,Ophthalmologist,29,Bangalore,Jayanagar,92% ,10,630,"MBBS, MS - Ophthalmology"
339,Dr. Garima Aggarwal,Nephrologist,12,Bangalore,Whitefield,99% ,79,850,"MBBS, MD - General Medicine, DM - Nephrology"
340,Dr. Mohammed Rehan Sayeed,Cardiothoracic Surgeon,25,Bangalore,Hebbal,100% ,14,1090,"MBBS, DNB - General Surgery, DNB - Cardiothoracic Surgery"
341,Dr. Jaya Sharma,Dermatologist,20,Bangalore,Kalyan Nagar,88% ,32,630,"MBBS, Diploma in Clinical Dermatology (UK)"
342,Dr. Mathangi J,Oncologist,24,Bangalore,Kengeri,100% ,3,800,"MBBS, DNB - Radiotherapy, Diploma in Radio Therapy"
343,Dr. Adarsh C K,Gastroenterologist,19,Bangalore,Kengeri,98% ,86,800,"MBBS, MD - General Medicine, DNB - Gastroenterology"
344,Dr. Kiran Raj N,Dentist,13,Bangalore,Banaswadi,100% ,81,400,BDS
345,Dr. H S Chandrika,Gynecologist/Obstetrician,40,Bangalore,JP Nagar 2 Phase,97% ,64,800,"MBBS, DGO"
346,Dr. Vidyashankar P,Nephrologist,20,Bangalore,Hebbal,95% ,9,900,"MBBS, DNB - Paediatrics, DM - Nephrology"
347,Dr. Satish Nair,Head and Neck Surgeon,29,Bangalore,Bannerghatta Road,90% ,40,1000,"MBBS, MS - ENT"
348,Dr. Phanindra V V,Ayurveda,14,Bangalore,Banashankari,99% ,272,400,"MD - Ayurveda Medicine, BAMS"
349,Dr. Supraja Chandrasekar,Pediatrician,19,Bangalore,Yeshwanthpur,98% ,98,750,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)"
350,Dr. Mukta Nadig,Gynecologist/Obstetrician,41,Bangalore,Malleswaram,94% ,208,850,"MBBS, MS - Obstetrics & Gynaecology"
351,Dr. Sreenivasa D,Gastroenterologist,35,Bangalore,Old Airport Road,90% ,146,900,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Gastroenterology, DNB - Gastroenterology"
352,Dr. Vanita Vaishnav,Gynecologist/Obstetrician,13,Bangalore,HSR Layout,98% ,58,600,"MS - Obstetrics & Gynaecology, MBBS"
353,Dr. Premkumar K,Urologist,17,Bangalore,Rajajinagar,98% ,17,630,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
354,Dr. Raghu T Narayan,Dentist,23,Bangalore,HAL 2nd Stage,94% ,70,500,"BDS, MDS, Certificate of Oral Implantology, PGCE(Endodontics), PGCE(Endodontics), FICOI"
355,Dr. Roopa R,Gynecologist/Obstetrician,26,Bangalore,Jayanagar 9 Block,96% ,27,500,"MBBS, DGO"
356,Dr. Jayashree Murthy,Gynecologist/Obstetrician,24,Bangalore,Indiranagar,99% ,30,600,"MBBS, DNB - Obstetrics & Gynecology"
357,Dr. Abdul Razack.G.S,Laparoscopic Surgeon,20,Bangalore,Jayanagar 9 Block,82% ,10,650,"MBBS, MS - General Surgery"
358,Dr. Disha Sridhar,Gynecologist/Obstetrician,21,Bangalore,Indiranagar,85% ,34,700,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology"
359,Dr. Suman Singh,Gynecologist/Obstetrician,28,Bangalore,BTM Layout 2nd Stage,93% ,722,700,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Aesthetic Medicine (FAM)"
360,Dr. Anil Kamath,Oncologist,23,Bangalore,Bannerghatta Road,94% ,11,1000,"MBBS, MCh - Surgical Oncology, MS - General Surgery"
361,Dr. A Aruna Prasad,Dermatologist,26,Bangalore,Yeshwanthpur,90% ,166,850,"MBBS, DVD"
362,Dr. V. Krishnan,Pediatrician,31,Bangalore,Jayanagar 9 Block,91% ,55,500,"MBBS, Diploma in Child Health (DCH), Diplomate of the American Board of Paediatrics, FRCPCH"
363,Dr. T. M Jyothi Lakshmi,Gynecologist/Obstetrician,34,Bangalore,Malleswaram,95% ,86,850,"MBBS, MD - Obstetrics & Gynaecology"
364,Dr. Smitha A.P.,Gynecologist/Obstetrician,19,Bangalore,Old Airport Road,99% ,57,850,"MBBS, DNB - Obstetrics & Gynecology"
365,Dr. Maruthesh Gowda,Bariatric Surgeon,18,Bangalore,Hegde Nagar,95% ,792,600,"MBBS, FRCS - General Surgery, MRCS (UK)"
366,Dr. Manohar Babu,Orthopedist,21,Bangalore,Bannerghatta Road,97% ,14,850,"MS - Orthopaedics, MBBS"
367,Dr. Thirumalesh K Reddy,Orthopedist,27,Bangalore,Hebbal,87% ,14,900,"MBBS, MS - Orthopaedics"
368,Dr. Sunil G Kini,Orthopedist,21,Bangalore,Old Airport Road,95% ,154,900,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, M.Ch - Orthopaedics, MNAMS - Orthopaedics"
369,Dr. Shruti Manjunath,Ear-Nose-Throat (ENT) Specialist,12,Bangalore,Indiranagar,99% ,46,650,"MBBS, MS - ENT"
370,Dr. Mahesh Chikkachannappa,General Surgeon,23,Bangalore,Hebbal,90% ,14,900,"MBBS, MS - General Surgery"
371,Dr. Parthasarathi Dutta Roy,Dermatologist,19,Bangalore,MG Road,89% ,1309,700,"MBBS, DDVL, MD - Skin,VD & Leprosy"
372,Dr. K P Srihari Das,Cardiologist,28,Bangalore,Jayanagar 9 Block,98% ,46,750,"MBBS, MD - General Medicine, DM - Cardiology"
373,Dr. Juvita Rasquinha,Dermatologist,17,Bangalore,Indiranagar,91% ,437,500,"MBBS, DDVL"
374,Dr. Jayateerth W Kulkarni,Orthopedist,35,Bangalore,Cunningham Road,98% ,141,700,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, FRCS - Trauma & Orthopedic Surgery"
375,Dr. Thomas Nirmal Kumar,Internal Medicine,45,Bangalore,Jayanagar 9 Block,95% ,3,500,MD - General Medicine
376,Dr. Asha Puranikmath,Gynecologist/Obstetrician,31,Bangalore,Indiranagar,92% ,86,800,"MBBS, MD - Obstetrics & Gynaecology"
377,Dr. Sanghamitra Burman,Ophthalmologist,23,Bangalore,Indiranagar,99% ,454,750,"MBBS, MD - Ophthalmology, DNB - Ophthalmology"
378,Dr. Abhijit Vilas Kulkarni,Cardiologist,20,Bangalore,Bannerghatta Road,97% ,11,1000,"MBBS, DM - Cardiology, MD - General Medicine"
379,Dr. Srinivas Rao. V. K,Ophthalmologist,25,Bangalore,Bellandur,86% ,21,500,"MBBS, DOMS"
380,Dr. Roma Haider,Dentist,24,Bangalore,Koramangala 5 Block,97% ,30,600,BDS
381,Dr. Aditya Murali,Oncologist,15,Bangalore,Hebbal,100% ,10,900,"DM - Medical Oncology, MBBS, DNB  - Medical Oncology, MD - General Medicine"
382,Dr. Lokesh B,Neurologist,25,Bangalore,Hebbal,88% ,6,900,"MBBS, MD - General Medicine, DM - Neurology"
383,Dr. Kishore C Kumtakar,Gynecologist/Obstetrician,43,Bangalore,Jayanagar 9 Block,100% ,2,500,"MBBS, MD - Obstetrics & Gynaecology"
384,Dr. Deepak Bolbandi,Urologist,29,Bangalore,Bannerghatta Road,69% ,24,850,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
385,Dr. Ganesh K Murthy,Neurosurgeon,32,Bangalore,Jayanagar,100% ,3,1000,"MBBS, MS - General Surgery, MCh - Neuro Surgery"
386,Dr. Ramya,Dentist,22,Bangalore,Indiranagar,94% ,1138,400,"BDS, MDS - Prosthodontics"
387,Dr. Surendranath Shetty B,Orthopedist,42,Bangalore,Jayanagar,100% ,N/A,750,"MBBS, MS - Orthopaedics"
388,Dr. Vinay Bhat,GastroIntestinal Surgeon,18,Bangalore,Hebbal,91% ,17,900,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology, DNB - General Surgery"
389,Dr. Venkatesh S,Cardiologist,28,Bangalore,JP Nagar,97% ,20,950,"MBBS, MD - Medicine, DM - Cardiology"
390,Dr. Sanjay Panicker,Homoeopath,26,Bangalore,Koramangala,92% ,438,400,BHMS
391,Dr. Mani Venugopal,Orthopedist,39,Bangalore,Ulsoor,97% ,156,800,"MBBS, MS - Orthopaedics, Diploma in Orthopaedics"
392,Dr. Umesh Srikantha,Neurosurgeon,21,Bangalore,Hebbal,89% ,23,900,"MBBS, MCh - Neuro Surgery"
393,Dr. Nagaraja Moorthy,Cardiologist,19,Bangalore,Hulimavu,99% ,182,700,"MBBS, MD - General Medicine, DM - Cardiology"
394,Dr. Vidyasagar Ramappa,Gastroenterologist,17,Bangalore,Yeshwanthpur,94% ,14,750,"MBBS, MD - General Medicine, MRCP (UK), CCST - Gastroenterology"
395,Dr. Jyothi Menon,Dermatologist,21,Bangalore,Koramangala 7 Block,96% ,31,600,"MBBS, DDVL"
396,Dr. Hari Kishan Kumar,Dermatologist,16,Bangalore,Kengeri,83% ,16,700,"MD - Dermatology , Venereology & Leprosy, MBBS"
397,Dr. Ambuja Govindaraj,Gynecologist/Obstetrician,16,Bangalore,Yeshwanthpur,100% ,2,750,"MBBS, MS - Obstetrics & Gynaecology, DGO"
398,Dr. Priyadarshini M,Dermatologist,11,Bangalore,Hebbal,98% ,32,1090,"MD - Dermatology, MBBS"
399,Dr. Vidya Muralidhar,Gynecologist/Obstetrician,13,Bangalore,Hebbal Kempapura,98% ,144,400,"MBBS, DGO, DNB - Obstetrics & Gynecology, DNB - Obstetrics & Gynecology"
400,Dr. Ashwin K.R,Oncologist,17,Bangalore,Hebbal,100% ,4,900,"MBBS, DNB - General Surgery, DNB - Surgical Oncology"
401,Dr. Basavaraj C M,Orthopedist,25,Bangalore,Kengeri,100% ,10,500,"Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, MRCS (UK), FRCS - Trauma & Orthopedic Surgery"
402,Dr. Sai Prasad T R,Pediatric Surgeon,28,Bangalore,Yeshwanthpur,100% ,11,900,"MBBS, MCh - Pediatric  Surgery, MRCS (UK)"
403,Dr. Yogish Vijaya Kumar,Orthopedist,23,Bangalore,Jayanagar 9 Block,93% ,12,650,"MBBS, MS - Orthopaedics"
404,Dr. B.K.M Reddy,Oncologist,41,Bangalore,Bannerghatta Road,100% ,N/A,1000,"MD - Radiotherapy, MBBS"
405,Dr. N Sapna Lulla,Gynecologist/Obstetrician,23,Bangalore,Hebbal,98% ,935,700,"MBBS, MS - Obstetrics & Gynaecology"
406,Dr. Anjan Shah,Dentist,27,Bangalore,Yeshwanthpur,99% ,21,750,"MDS - Oral & Maxillofacial Surgery, BDS"
407,Dr. Sreenath S Manikanti,Pediatrician,27,Bangalore,Koramangala,98% ,497,600,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh), Diploma in Child Health (DCH)"
408,Dr. Naveena Rao,Plastic Surgeon,24,Bangalore,Bannerghatta Road,100% ,30,850,"MCh - Plastic Surgery, MBBS, MS - General Surgery"
409,Dr. M Diwakar,Psychiatrist,28,Bangalore,Cox Town,98% ,109,900,"MBBS, M.D. (Psychiatry)"
410,Dr. Sankeerth Vijayakumar,Dermatologist,12,Bangalore,HSR Layout,96% ,149,600,"MBBS, MD - Dermatology , Venereology & Leprosy"
411,Dr. Ragavan P S,Pediatrician,27,Bangalore,Bannerghatta Road,100% ,5,850,"MBBS, MD - Pediatrics"
412,Dr. Uma Karjigi,Rheumatologist,21,Bangalore,Jayanagar,81% ,12,1000,"MBBS, MRCP (UK)"
413,Dr. Geeta Komar,Gynecologist/Obstetrician,21,Bangalore,Whitefield,75% ,10,800,"MBBS, MD - Obstetrics & Gynaecology"
